%Distancia,Elevacion
3116.6,686.985
3121.2,689.123
3125.8,691.287
3130.4,693.477
3135,696.151
3139.6,698.971
3144.1,701.818
3148.7,704.731
3153.3,709.285
3157.9,713.708
3162.5,718.001
3167.1,722.163
3171.7,726.195
3176.3,730.096
3180.9,733.525
3185.5,735.314
3190,736.897
3194.6,738.897
3199.2,741.315
3203.8,744.151
3208.4,747.404
3213,751.075
3217.6,754.976
3222.2,758.359
3226.8,761.487
3231.4,763.856
3235.9,766.303
3240.5,768.828
3245.1,771.431
3249.7,774.113
3254.3,776.981
3258.9,780.065
3263.5,783.357
3268.1,786.858
3272.7,790.568
3277.3,794.128
3281.8,797.569
3286.4,800.28
3291,802.146
3295.6,803.908
3300.2,805.566
3304.8,807.119
3309.4,808.568
3314,809.913
3318.6,811.368
3323.2,814.476
3327.7,817.569
3332.3,820.453
3336.9,823.128
3341.5,825.594
3346.1,827.852
3350.7,829.901
3355.3,832.001
3359.9,834.166
3364.5,836.331
3369.1,838.495
3373.6,840.345
3378.2,841.858
3382.8,843.058
3387.4,844.352
3392,846.64
3396.6,849.477
3401.2,852.862
3405.8,856.794
3410.4,861.275
3415,866.304
3419.5,871.835
3424.1,876.512
3428.7,881.324
3433.3,886.293
3437.9,891.418
3442.5,896.7
3447.1,902.139
3451.7,907.734
3456.3,913.663
3460.9,919.846
3465.4,926.013
3470,931.009
3474.6,935.822
3479.2,940.452
3483.8,944.899
3488.4,948.79
3493,951.313
3497.6,953.887
3502.2,956.514
3506.8,959.193
3511.3,961.925
3515.9,964.438
3520.5,966.881
3525.1,969.631
3529.7,972.414
3534.3,975.17
3538.9,977.9
3543.5,980.604
3548.1,983.282
3552.7,985.934
3557.2,988.241
3561.8,990.131
3566.4,991.981
3571,993.909
3575.6,995.916
3580.2,998.001
3584.8,1000.164
3589.4,1002.213
3594,1002.016
3598.6,1001.767
3603.1,1001.465
3607.7,1001.111
3612.3,1000.74
3616.9,1000.37
3621.5,999.999
3626.1,999.511
3630.7,999.017
3635.3,998.576
3639.9,998.186
3644.5,997.849
3649,997.564
3653.6,997.331
3658.2,996.818
3662.8,995.77
3667.4,994.722
3672,993.674
3676.6,992.626
3681.2,991.578
3685.8,990.529
3690.4,989.481
3694.9,989.787
3699.5,990.233
3704.1,990.738
3708.7,991.266
3713.3,991.74
3717.9,992.163
3722.5,992.533
3727.1,993.418
3731.7,994.762
3736.3,996.131
3740.8,997.527
3745.4,998.949
3750,1000.396
3754.6,1001.949
3759.2,1003.408
3763.8,1004.197
3768.4,1004.907
3773,1005.54
3777.6,1006.094
3782.2,1006.569
3786.7,1006.967
3791.3,1007.286
3795.9,1008.565
3800.5,1010.259
3805.1,1011.957
3809.7,1013.499
3814.3,1014.884
3818.9,1016.112
3823.5,1017.184
3828.1,1018.471
3832.6,1020.286
3837.2,1022.18
3841.8,1024.152
3846.4,1026.215
3851,1028.565
3855.6,1030.863
3860.2,1033.07
3864.8,1034.233
3869.4,1035.37
3874,1036.481
3878.5,1037.565
3883.1,1038.624
3887.7,1039.656
3892.3,1040.662
3896.9,1040.774
3901.5,1040.536
3906.1,1040.43
3910.7,1040.453
3915.3,1040.607
3919.9,1040.891
3924.4,1041.306
3929,1041.78
3933.6,1042.065
3938.2,1042.272
3942.8,1042.495
3947.4,1043.02
3952,1043.676
3956.6,1044.462
3961.2,1045.379
3965.8,1046.902
3970.3,1048.363
3974.9,1049.694
3979.5,1050.895
3984.1,1051.965
3988.7,1052.905
3993.3,1053.766
3997.9,1054.981
4002.5,1056.612
4007.1,1058.373
4011.7,1060.265
4016.2,1062.287
4020.8,1064.44
4025.4,1066.723
4030,1069.069
4034.6,1070.875
4039.2,1072.215
4043.8,1073.249
4048.4,1074.205
4053,1075.083
4057.6,1075.882
4062.1,1076.604
4066.7,1077.618
4071.3,1078.697
4075.9,1079.723
4080.5,1080.698
4085.1,1081.639
4089.7,1082.682
4094.3,1083.699
4098.9,1085.117
4103.5,1087.184
4108,1089.173
4112.6,1091.083
4117.2,1092.916
4121.8,1094.669
4126.4,1096.345
4131,1097.942
4135.6,1100.225
4140.2,1102.511
4144.8,1104.771
4149.4,1107.004
4153.9,1109.212
4158.5,1111.393
4163.1,1113.548
4167.7,1115.575
4172.3,1117.447
4176.9,1119.216
4181.5,1121.012
4186.1,1123.056
4190.7,1125.152
4195.3,1127.301
4199.8,1129.504
4204.4,1131.654
4209,1133.673
4213.6,1135.562
4218.2,1137.32
4222.8,1138.948
4227.4,1140.446
4232,1142.267
4236.6,1145.146
4241.2,1148.202
4245.7,1151.257
4250.3,1154.313
4254.9,1157.369
4259.5,1160.425
4264.1,1163.481
4268.7,1166.49
4273.3,1169.409
4277.9,1172.35
4282.5,1175.314
4287.1,1178.252
4291.6,1181.164
4296.2,1184.049
4300.8,1186.92
4305.4,1189.851
4310,1192.703
4314.6,1195.476
4319.2,1198.172
4323.8,1200.914
4328.4,1204.22
4333,1207.63
4337.5,1211.204
4342.1,1214.661
4346.7,1217.935
4351.3,1221.026
4355.9,1223.935
4360.5,1226.661
4365.1,1229.204
4369.7,1230.972
4374.3,1231.371
4378.9,1231.673
4383.4,1231.896
4388,1232.041
4392.6,1232.107
4397.2,1232.096
4401.8,1232.006
4406.4,1232.647
4411,1233.427
4415.6,1234.312
4420.2,1235.311
4424.8,1236.299
4429.3,1237.209
4433.9,1238.04
4438.5,1239.291
4443.1,1240.998
4447.7,1242.835
4452.3,1244.802
4456.9,1246.9
4461.5,1249.129
4466.1,1251.47
4470.7,1253.256
4475.2,1254.912
4479.8,1256.437
4484.4,1257.831
4489,1259.096
4493.6,1260.229
4498.2,1261.233
4502.8,1262.106
4507.4,1263.975
4512,1266.114
4516.6,1268.68
4521.1,1271.408
4525.7,1274.057
4530.3,1276.629
4534.9,1279.122
4539.5,1281.858
4544.1,1284.916
4548.7,1287.869
4553.3,1290.717
4557.9,1293.462
4562.5,1296.236
4567,1299.391
4571.6,1302.7
4576.2,1307.814
4580.8,1312.954
4585.4,1318.12
4590,1323.312
4594.6,1328.53
4599.2,1333.774
4603.8,1339.044
4608.4,1343.25
4612.9,1346.938
4617.5,1350.437
4622.1,1353.727
4626.7,1356.809
4631.3,1359.682
4635.9,1362.346
4640.5,1364.692
4645.1,1366.804
4649.7,1369.072
4654.3,1371.497
4658.8,1374.265
4663.4,1377.157
4668,1379.893
4672.6,1382.473
4677.2,1383.235
4681.8,1383.834
4686.4,1384.433
4691,1385.032
4695.6,1385.631
